报告编号,报告类型,被审计单位,审计意见,关键结论描述,数据引用1,数据引用2,风险提示是否充分,建议与结论匹配度
AR202501,年度审计报告,公司_1,无保留意见,应收账款余额较上年增长30%，主要由于客户回款延迟,收入确认凭证,客户合同台账,否,不匹配
AR202502,年度审计报告,公司_2,无保留意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,增值税申报表,应收账款明细表,否,匹配
AR202503,并购审计报告,公司_3,无法表示意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,投资协议扫描件,投资协议扫描件,是,匹配
AR202504,并购审计报告,公司_4,无法表示意见,目标公司收入真实性存疑，但通过函证和穿行测试确认其合理性,减值测试报告,增值税申报表,是,匹配
AR202505,专项审计报告,公司_5,无保留意见,无法核实某笔大额投资的真实性,银行流水,投资协议扫描件,否,不匹配
AR202506,年度审计报告,公司_6,无法表示意见,无法核实某笔大额投资的真实性,函证回函,存货计价政策文档,否,不匹配
AR202507,并购审计报告,公司_7,无法表示意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,存货计价政策文档,收入确认凭证,是,匹配
AR202508,并购审计报告,公司_8,无法表示意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,应收账款明细表,增值税申报表,是,匹配
AR202509,税务审计报告,公司_9,保留意见,存货跌价准备计提比例调整，符合会计准则要求,印花税税目表,银行流水,否,匹配
AR202510,税务审计报告,公司_10,保留意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,投资协议扫描件,存货计价政策文档,是,匹配
AR202511,税务审计报告,公司_11,否定意见,目标公司收入真实性存疑，但通过函证和穿行测试确认其合理性,印花税税目表,存货计价政策文档,是,不匹配
AR202512,专项审计报告,公司_12,保留意见,应收账款余额较上年增长30%，主要由于客户回款延迟,存货计价政策文档,印花税税目表,是,匹配
AR202513,税务审计报告,公司_13,保留意见,应收账款余额较上年增长30%，主要由于客户回款延迟,增值税申报表,印花税税目表,否,匹配
AR202514,税务审计报告,公司_14,否定意见,目标公司收入真实性存疑，但通过函证和穿行测试确认其合理性,银行流水,银行流水,是,不匹配
AR202515,税务审计报告,公司_15,保留意见,应收账款余额较上年增长30%，主要由于客户回款延迟,银行流水,投资协议扫描件,否,不匹配
AR202516,并购审计报告,公司_16,保留意见,存货跌价准备计提比例调整，符合会计准则要求,函证回函,函证回函,否,不匹配
AR202517,年度审计报告,公司_17,无保留意见,存货跌价准备计提比例调整，符合会计准则要求,收入确认凭证,银行流水,是,匹配
AR202518,并购审计报告,公司_18,无法表示意见,目标公司收入真实性存疑，但通过函证和穿行测试确认其合理性,银行流水,印花税税目表,否,不匹配
AR202519,并购审计报告,公司_19,否定意见,无法核实某笔大额投资的真实性,印花税税目表,存货计价政策文档,否,匹配
AR202520,税务审计报告,公司_20,保留意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,银行流水,减值测试报告,是,不匹配
AR202521,并购审计报告,公司_21,否定意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,收入确认凭证,函证回函,否,匹配
AR202522,专项审计报告,公司_22,否定意见,目标公司收入真实性存疑，但通过函证和穿行测试确认其合理性,客户合同台账,银行流水,是,不匹配
AR202523,年度审计报告,公司_23,无法表示意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,应收账款明细表,函证回函,是,匹配
AR202524,年度审计报告,公司_24,无法表示意见,存货跌价准备计提比例调整，符合会计准则要求,客户合同台账,存货计价政策文档,否,匹配
AR202525,年度审计报告,公司_25,保留意见,存货跌价准备计提比例调整，符合会计准则要求,投资协议扫描件,客户合同台账,是,不匹配
AR202526,并购审计报告,公司_26,无法表示意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,存货计价政策文档,客户合同台账,否,匹配
AR202527,税务审计报告,公司_27,无法表示意见,无法核实某笔大额投资的真实性,函证回函,存货计价政策文档,否,不匹配
AR202528,并购审计报告,公司_28,无保留意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,函证回函,存货计价政策文档,否,不匹配
AR202529,并购审计报告,公司_29,保留意见,应收账款余额较上年增长30%，主要由于客户回款延迟,印花税税目表,收入确认凭证,是,匹配
AR202530,税务审计报告,公司_30,无法表示意见,目标公司收入真实性存疑，但通过函证和穿行测试确认其合理性,印花税税目表,减值测试报告,是,不匹配
AR202531,税务审计报告,公司_31,否定意见,应收账款余额较上年增长30%，主要由于客户回款延迟,收入确认凭证,应收账款明细表,否,不匹配
AR202532,并购审计报告,公司_32,否定意见,应收账款余额较上年增长30%，主要由于客户回款延迟,投资协议扫描件,印花税税目表,否,匹配
AR202533,并购审计报告,公司_33,保留意见,无法核实某笔大额投资的真实性,应收账款明细表,存货计价政策文档,否,不匹配
AR202534,专项审计报告,公司_34,无法表示意见,目标公司收入真实性存疑，但通过函证和穿行测试确认其合理性,客户合同台账,减值测试报告,否,匹配
AR202535,并购审计报告,公司_35,无保留意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,投资协议扫描件,函证回函,是,匹配
AR202536,专项审计报告,公司_36,保留意见,无法核实某笔大额投资的真实性,应收账款明细表,应收账款明细表,是,匹配
AR202537,专项审计报告,公司_37,否定意见,应收账款余额较上年增长30%，主要由于客户回款延迟,函证回函,增值税申报表,否,匹配
AR202538,税务审计报告,公司_38,否定意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,应收账款明细表,增值税申报表,是,不匹配
AR202539,税务审计报告,公司_39,无法表示意见,目标公司收入真实性存疑，但通过函证和穿行测试确认其合理性,印花税税目表,收入确认凭证,是,匹配
AR202540,年度审计报告,公司_40,否定意见,无法核实某笔大额投资的真实性,收入确认凭证,收入确认凭证,否,匹配
AR202541,并购审计报告,公司_41,无保留意见,应收账款余额较上年增长30%，主要由于客户回款延迟,印花税税目表,增值税申报表,是,不匹配
AR202542,税务审计报告,公司_42,无保留意见,无法核实某笔大额投资的真实性,投资协议扫描件,印花税税目表,否,匹配
AR202543,税务审计报告,公司_43,否定意见,增值税进项税额转出计算准确，但印花税申报存在少缴风险,收入确认凭证,减值测试报告,是,不匹配
AR202544,税务审计报告,公司_44,无保留意见,应收账款余额较上年增长30%，主要由于客户回款延迟,应收账款明细表,印花税税目表,是,不匹配
AR202545,专项审计报告,公司_45,无法表示意见,存货跌价准备计提比例调整，符合会计准则要求,函证回函,减值测试报告,否,匹配
AR202546,年度审计报告,公司_46,无保留意见,目标公司收入真实性存疑，但通过函证和穿行测试确认其合理性,收入确认凭证,存货计价政策文档,否,匹配
AR202547,税务审计报告,公司_47,无保留意见,目标公司收入真实性存疑，但通过函证和穿行测试确认其合理性,收入确认凭证,应收账款明细表,否,匹配
AR202548,并购审计报告,公司_48,无法表示意见,应收账款余额较上年增长30%，主要由于客户回款延迟,减值测试报告,增值税申报表,否,匹配
AR202549,并购审计报告,公司_49,无保留意见,应收账款余额较上年增长30%，主要由于客户回款延迟,减值测试报告,增值税申报表,是,不匹配
AR202550,年度审计报告,公司_50,否定意见,应收账款余额较上年增长30%，主要由于客户回款延迟,函证回函,客户合同台账,否,匹配
